Name,District,Address
S. Stanevičiaus progimnazija,Fabijoniškės,S. Stanevičiaus g. 25
"Ateities" vidurinė mokykla,Fabijoniškės,S. Stanevičiaus g. 98
A. Kulviečio klasikinė gimnazija,Fabijoniškės,Gedvydžių g. 8
Fabijoniškių mokykla,Fabijoniškės,P. Žadeikos g. 2
Žemynos gimnazija,Pašilaičiai,Čiobiškio g. 16
Žemynos progimnazija,Pašilaičiai,Žemynos g, 14
Gabijos gimnazija,Pašilaičiai,Pašilaičių g. 13
Vilniaus Antakalnio gimnazija,Antakalnis,Antakalnio g. 29
VGTU inžinerijos licėjus,Antakalnis,Antakalnio g. 120
Vilniaus Baltupių progimnazija,Baltupiai,Didlaukio g. 23
Jeruzalės progimnazija,Jeruzalė,Mokyklos g. 9
Taikos progimnazija,Justiniškės,Taikos g. 157
Mykolo Biržiškos gimnazija,Justiniškės,Taikos g. 81
Levo Karsavino vidurinė mokykla,Justiniškės,Justiniškių g. 43
Vilniaus "Saulės" privati gimnazija,Justiniškės,Justiniškių g. 84
Karoliniškių gimnazija,Karoliniškės,Sausio 13-osios g. 17
Spindulio pagrindinė mokykla,Karoliniškės,R. Jankausko g. 17
Šv. Jono Pauliaus II gimnazija,Karoliniškės,V. Druskio g. 11
Lazdynų vidurinė mokykla,Lazdynai,Žėručio g. 4
"Ąžuolyno" progimnazija,Lazdynai,Architektų g. 68
Teofilijaus Matulionio gimnazja,Lazdynai,Architektų g. 85
Minties gimnazija,Lazdynai,Erfurto g. 23
Martyno Mažvydo progimnazija,Pilaitė,Vydūno g. 17A
Pilaitės gimnazija,Pilaitė,Įsruties g. 3
Žirmūnų gimnazija,Žirmūnai,Žirmūnų g. 37
Emilijos Pliaterytės progimnazija,Žirmūnai,Žirmūnų g. 119
